lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;ve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
160274953;KDV;Nee;Catootje & Obelix;38;Nee;Ingeschreven;09-01-2017;Kerkweg 1A ;1687PJ;Wognum;0420010000011183;Catootje & Obelix B.V.;37163163;000017352665;BeslotenVennootschap;2015-12-23;;Kerkstraat 75 ;1687AM;Wognum;;;;;;;'0623496294';info@catootjeenobelix.nl;http://www.catootjeenobelix.nl;420;Medemblik;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/85b1f91a-8bb6-4bfe-ac6b-09ac156e897b
160277437;KDV;Nee;PSG Plaggenborg;15;Nee;Ingeschreven;03-01-2012;Wollinghuizerweg 27 ;9551TG;Sellingen;0048010000009174;Stichting Kinderopvang KiWi;41014838;000025720511;Stichting;2016-01-29;;Wilhelminastraat 37 ;9541AN;Vlagtwedde;;;;;;Mw. S.M. Scholten, directeur;'085-0848000';kiwi@kinderopvangkiwi.nl;http://www.kinderopvangkiwi.nl;1950;Westerwolde;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/30dc6809-c1a7-41a3-9df7-df9c7a182d76
160292967;BSO;Nee;Bernadette BSO;47;;Ingeschreven;10-07-2025;Vondelstraat 1A ;5462CS;Veghel;1948010040747958;De Verbinding B.V.;50168223;;Besloten Vennootschap;2016-01-25;;Pearl S. Buckstraat 1 ;5491DG;Sint-Oedenrode;;;;;;W.G. Van den Biggelaar;'0413782142';ingrid@kcdeverbinding.nl;http://www.deverbinding-sintoedenrode.nl;1948;Meierijstad;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/94363bc1-1d10-4505-8616-b7c80e70be36
160307752;BSO;Nee;Thuishuis Kippetje Tok;24;;Ingeschreven;21-08-2020;Dr. A. Kuyperstraat 46 ;9645AR;Veendam;0047010000290826;Kruizinga - Pesman;78318998;000045957479;Eenmanszaak;2020-08-10;;;;;;Havenstraat 3B ;9641BP;Veendam;;;'0598616824';anjakruizinga@netvisit.nl;;47;Veendam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/412682d2-24b2-4c5b-994c-099ccbead835
160324324;VGO;Nee;Loeffen;6;;Ingeschreven;01-05-2026;Opvang bij de vraagouder;;;;Loeffen;;;;;;;;;;;;;;;'';;;1991;Maashorst;997832630;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c9070037-2774-44ee-b34a-4819fec522c1
160346368;KDV;Nee;MAM's Kinderopvang Loft;12;Nee;Ingeschreven;24-06-2021;Willem Tellstraat 70 ;8162ET;Epe;0232010000007732;MAM's Kinderopvang Epe;52457885;000022383905;BV;2015-11-25;;Canadalaan 11 ;7316BV;Apeldoorn;;Willem Tellstraat 70 ;8162ET;Epe;;Mariska Kerkdijk;'055 3032253';mariska@mamskinderopvang.nl;http://www.mamskinderopvang.nl;232;Epe;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d36855f1-414e-4912-955c-c3d36120496e
160357159;BSO;Nee;Amforca BSO Houtrust;25;;Ingeschreven;14-03-2023;Laan van Poot 22 ;2566EC;'s-Gravenhage;0518010000622423;Amforca-Sports BSO B.V.;82485313;;Besloten Vennootschap;2020-05-08;;Laan van Poot 38C ;2566EC;'s-Gravenhage;;;;;;M. Augustinus;'070 221 0664';bso@amforca.com;http://www.amforcakidsclub.com;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/9bb1aa11-8a50-49b8-b5db-be7dc5a015a0
160362659;KDV;Nee;Kinderdagverblijf 't Kolleke;10;Nee;Ingeschreven;13-01-2011;Driezeeg 20 ;5258LE;Berlicum;0845010000000492;Houtum;50711008;;Eenmanszaak;2016-01-07;;;;;;Driezeeg 20 ;5258LE;Berlicum;;MPH van Houtum;'0652617479';info@kdvkolleke.nl;http://www.kdvkolleke.nl;845;Sint-Michielsgestel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/40a54d6e-ad1c-4d21-a1a8-ae1ea185f50d
160374248;KDV;Nee;KDV Lien! VSV;16;Ja;Ingeschreven;16-08-2023;Govert Flincklaan 1 ;4383WB;Vlissingen;0718010000006810;Kinderopvang LIEN! B.V.;92310540;;Besloten Vennootschap;2016-03-22;;Badhuisstraat 70 ;4381LV;Vlissingen;;Badhuisstraat 70 ;4381LV;Vlissingen;;Eveline Luchtmeijer;'0118853424';info@kinderopvang-lien.nl;http://www.kinderopvang-lien.nl/;718;Vlissingen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/639ebd5d-ac65-42d8-9363-89c1ca77f9ed
160378242;BSO;Nee;Aan de Bosrand;120;;Ingeschreven;19-08-2015;Otterloseweg 18A ;6718ZM;Ede;0228010000017296;Bzzzonder Ede B.V.;63510030;000032419384;BV;2015-11-24;;Van Siburgstraat 18 ;3863HW;Nijkerk;;;;;;Karin Jansen;'0627838470';karinjansen@bzzzonder.nl;;228;Ede;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d5a7bb55-a687-4d1f-abab-37501f1c0061
160380637;BSO;Nee;Korein St Petrus Canisiuslaan;46;;Ingeschreven;01-01-2010;St Petrus Canisiuslaan 47 ;5645GC;Eindhoven;0772010000806109;Korein B.V.;17125104;000027159744;BeslotenVennootschap;2016-01-11;;Postbus 473;5600AL;Eindhoven;;Postbus 473;5600AL;EINDHOVEN;;Korein St Petrus Canisiuslaan;'040-2948989';canisiuslaan@korein.nl;http://www.korein.nl;772;Eindhoven;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/75b04980-ebf2-479c-8408-b64018cf8e78
160395008;GOB;Nee;Nanny Service Nederland B.V., Nanny Service Nederland;;;Ingeschreven;20-12-2012;Waarderweg 33 ;2031BN;Haarlem;0392010000071539;Nanny Service Nederland B.V.;68620632;000025426826;Besloten Vennootschap;2017-09-13;;Kennemerplein 11 13;2011MH;Haarlem;;Waarderweg 33 ;2031BN;Haarlem;;M. Baas;'0237370552';office@nannyservicenederland.nl;http://www.nannyservicenederland.nl;392;Haarlem;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/da758d87-40a3-4b40-870e-5f0b8a91ec89
160396852;KDV;Nee;Up Kinderopvang;32;Ja;Ingeschreven;01-08-2023;Daniël Catterwijckstraat 6 ;2282HM;Rijswijk;0603010000015925;Kinderopvang Morgen;41156673;000007948964;Stichting;2016-02-09;;Martin Campslaan 3 ;2286SB;Rijswijk;;;;;;Y. Floris;'0629409641';yfloris@kinderopvangmorgen.nl;http://www.kinderopvangmorgen.nl;603;Rijswijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/06a0a0c4-3d9c-4ec6-ab01-ffba389c2302
160406924;KDV;Nee;Nieuwe Link 2;16;Ja;Ingeschreven;31-12-2012;Singel 1940-1945 114D ;5348PR;Oss;0828010001593584;AVEM Kinderopvang B.V.;64789047;000020950241;Besloten Vennootschap;2018-01-11;;Rossinistraat 9 ;5344AK;Oss;;;;;;W. Toemen;'0412 405030';info@avem-kinderopvang.nl;http://www.avem-kinderopvang.nl;828;Oss;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/942a07fb-229e-4fdb-9266-508bcc47a6dc
160419384;BSO;Nee;Kinderopvang Zien BSO Rummerinkhof Haren;85;;Ingeschreven;18-02-2026;Rummerinkhof 2 ;9751SL;Haren Gn;0017010000008007;Kinderopvang Zien Haren B.V.;02096792;000065533801;Besloten Vennootschap;2016-01-18;;Hortuslaan 18 ;9751BG;Haren Gn;;Rummerinkhof 2 ;9751SL;Haren Gn;;;'0624706407';kwaliteit@wijzienjou.nl;;14;Groningen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ad79fc0e-2dc7-4bab-a67d-c48bde6fad44
160425311;KDV;Nee;Stichting Abbo Kindcentra Kinderopvang - KDV Kindcentrum de Zeeridder;16;Ja;Ingeschreven;01-10-2022;Frans Halsstraat 25 ;4625BR;Bergen op Zoom;0748010000038300;Stichting Abbo kindcentra kinderopvang;41102944;000053351851;Stichting;2015-12-29;;Rijtuigweg 12 ;4611EL;Bergen op Zoom;;Rijtuigweg 12 ;4611EL;Bergen op Zoom;;Petra Ferket;'0164-210191';kinderopvang@abbokindcentra.nl;http://www.vrijeschooldezeeridder.nl;748;Bergen op Zoom;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/7dbcae81-ae51-44a8-858e-6dfc0155e770
160428877;VGO;Nee;Tabbers Lagas;6;;Ingeschreven;09-04-2019;Huijsmansstraat 20 ;5042PG;Tilburg;0855010000029703;Tabbers Lagas;;;;;;;;;;;;;;;'';;;855;Tilburg;190811766;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/9cac5db7-e24c-4d7a-9194-3e64c4295697
160431554;VGO;Nee;Sande-van Dinther;6;;Ingeschreven;25-11-2010;Elzengaard 49 ;5283GC;Boxtel;0757010001455021;Sande-van Dinther;;;;;;;;;;;;;;;'';;;757;Boxtel;512128121;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0f5ff126-d9d9-4d53-9d27-3d374eb76318
160438251;VGO;Nee;Brouwer;6;;Ingeschreven;26-09-2023;Opvang bij de vraagouder;;;;Brouwer;;;;;;;;;;;;;;;'';;;397;Heemstede;210229974;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b73119da-68c8-47dd-adaf-d57db04c0a27
160456216;VGO;Nee;Anrooij;6;;Ingeschreven;05-06-2025;Opvang bij de vraagouder;;;;Anrooij;;;;;;;;;;;;;;;'';;;758;Breda;149711980;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/7685b57e-ca46-4540-89c3-3ad2417976ed
160459412;VGO;Nee;Yallah-Groenefelt;6;;Ingeschreven;06-11-2013;Vincent van Goghstraat 40 ;5613JK;Eindhoven;0772010000719783;Yallah-Groenefelt;;;;;;;;;;;;;;;'';;;772;Eindhoven;868754146;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ac9a3f82-dd2d-4f20-a748-75b1e3065d4a
160474796;VGO;Nee;Bouwhuis-Nijmeijer;6;;Ingeschreven;04-08-2010;Tieberije 8 ;7783CW;Gramsbergen;0160010000026650;Bouwhuis-Nijmeijer;;;;;;;;;;;;;;;'';;;160;Hardenberg;175078944;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8ae5a33a-5948-4a21-9ac5-8b0c075f6a0f
160476288;KDV;Nee;Kinderdagverblijf Pippeloentje;44;Ja;Ingeschreven;01-01-2005;De Barrage 6 ;8252GW;Dronten;0303010000610682;Stichting Kinderopvang WildeWijs;39071570;000012140562;Stichting;2016-02-01;;Agripark-Oost 4 ;8251KH;Dronten;;Agripark-Oost 4 ;8251KH;Dronten;;Anita Sari;'0610992230';anita.sari@wildewijs.nl;http://kinderopvangwildewijs.nl;303;Dronten;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/68800af3-286b-4bbe-a205-d2d622694e58
160478170;VGO;Nee;Amellah;6;;Ingeschreven;30-03-2023;Jaap Edenstraat 15 ;1067RX;Amsterdam;0363010001172390;Amellah;;;;;;;;;;;;;;;'';;;363;Amsterdam;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/21c0cfef-c124-4a89-9c3d-0cb8f2ca2276
160481727;KDV;Nee;Rivakids KDV Ochten;28;Ja;Ingeschreven;02-01-2010;Hoeflaan 5a ;4051EM;Ochten;1740010000016402;Kinderdagopvang SamSam B.V.;82989613;000018114180;Besloten Vennootschap;2021-06-01;;Hoeflaan 5a ;4051EM;Ochten;;Postbus 2728;3500GS;Utrecht;;Rivakids;'';kwaliteit@rivakids.nl;http://www.rivakids.nl;1740;Neder-Betuwe;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/47453840-2988-4b85-b2f7-cf5ddc6ff9b5
160482690;VGO;Nee;Tokaay;6;;Ingeschreven;20-11-2013;Corneillestraat 15 ;3076VA;Rotterdam;0599010000027220;Tokaay;;;;;;;;;;;;;;;'';;;599;Rotterdam;146575891;316496522;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/fd025f58-5b44-469e-a1ac-d5104466fdee
160484406;VGO;Nee;Velden;6;;Ingeschreven;01-06-2017;Chaamseweg 8 ;5111VM;Baarle-Nassau;0744010000000510;Velden;;;;;;;;;;;;;;;'';;;744;Baarle-Nassau;827384701;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0b35a6fa-55c1-42de-8956-0c16a57fc941
160485344;KDV;Nee;Marlynedok;32;Ja;Ingeschreven;09-12-2010;Schoener 120 ;2991JN;Barendrecht;0489010000272820;Kinderopvang Eiland Marlyne B.V.;24328080;;BV;2015-12-01;;Voordijk 237 ;2992AL;Barendrecht;;Voordijk 237 ;2992AL;Barendrecht;;Anita den Otter;'0180557983';anitaeilandmarlyne@gmail.com;http://www.eilandmarlyne.nl;489;Barendrecht;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f96536f4-c9b7-4751-b6c9-56c081349b08
160494813;VGO;Nee;Dijk van der Wal;6;;Ingeschreven;28-06-2017;Hobbemastraat 3 ;8271AH;IJsselmuiden;0166010000003160;Dijk van der Wal;;;;;;;;;;;;;;;'';;;166;Kampen;300232779;336202635;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ec8d5cf7-4a60-4c78-a415-f15a6a959544
160518271;VGO;Nee;Helm;6;;Ingeschreven;16-08-2010;Farmsumerweg 101d ;9902BN;Appingedam;0003010000128781;Helm;;;;;;;;;;;;;;;'';;;1979;Eemsdelta;856284373;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/935f22dd-de4d-41f8-b264-4212330ee5bb
160522043;BSO;Nee;BSO Kids&Zoo;40;;Ingeschreven;02-12-2014;Brinkenhalte 24 ;7812HX;Emmen;0114010000354730;Kinderwereld;41019301;000059609397;Stichting;2016-02-15;;Monierweg 5D ;7741KV;Coevorden;;Monierweg 5D ;7741KV;Coevorden;;;'0524-524445';info@kinderwereld.info;;114;Emmen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3a220af9-35e5-46d3-8830-1c9e49ffe6be
160533120;BSO;Nee;BSO Puk Klingerveld;40;;Ingeschreven;01-01-2010;Klingerveld 6 ;5752AK;Deurne;0762010000013874;Stichting Spring Kinderopvang;41062125;000061802972;Stichting;2016-02-08;;Postbus 116;5830AC;Boxmeer;;Postbus 116;5830AC;Boxmeer;;A. Berkelaar;'0882088200';register@spring-kinderopvang.nl;;762;Deurne;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1f82b526-403e-41a0-ba07-ddaab4c67c03
160535372;KDV;Nee;Newkids;7;Nee;Ingeschreven;14-02-2024;Burgemeester Versluijsstraat 18 ;4698AS;Oud-Vossemeer;0716010000030395;Kannekens;20131553;000013228226;Eenmanszaak;2016-04-04;;;;;;Kerkstraat 60 ;4664BS;Lepelstraat;;CD Kannekens;'0627081720';chantalsam@msn.com;http://www.kdvnewkids.nl;716;Tholen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/bf9b5a07-dd57-4c1b-b495-b52ec96181e2
160548135;VGO;Nee;Braal-Grootscholten;6;;Ingeschreven;28-09-2010;Hollemarestraat 90 ;3238XK;Zwartewaal;0501010002002588;Braal-Grootscholten;;;;;;;;;;;;;;;'';;;1992;Voorne aan Zee;225197686;510383154;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/27bd2bdc-1db2-40e3-9960-3c942e33b1c7
160554196;KDV;Nee;Kinderdagverblijf Puur Kind B.V.;24;Nee;Ingeschreven;01-05-2022;Dorpsplein 4a ;6099AS;Beegden;1641010001095024;KDV Puur Kind;84549610;000050662163;Besloten Vennootschap;2021-10-30;;Burgemeester Douvenhof 3 ;6019DK;Wessem;;;;;;Lindsey Schouren;'0631354735';lindsey_s@live.nl;;1641;Maasgouw;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/48cbdc5c-21ab-4bb5-8ca5-2ed5ae09c453
160570682;KDV;Nee;Kinderdagverblijf 't Riddertje B.V.;32;Nee;Ingeschreven;01-06-2025;De Rede 10 ;8251EV;Dronten;0303010000669560;Kinderdagverblijf 't Riddertje B.V.;95659080;000061057762;Besloten Vennootschap;2025-04-28;;De Rede 10 ;8251EV;Dronten;;De Rede 10 ;8251EV;Dronten;;A.L. Otten-Roeland;'0616110045';post@hetriddertje.nl;https://www.hetriddertje.nl;303;Dronten;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/46980979-1578-40ac-8987-d5fc9bdd5e4a
160583214;BSO;Nee;Spelerij Maatjes;60;;Ingeschreven;26-07-2018;Lekdijk Oost 12 ;3961MB;Wijk bij Duurstede;0352010000003664;Munnik;69608849;000011489227;Eenmanszaak;2018-01-01;;;;;;;;;;Todd de Munnik;'+31 0610059848';spelerijmaatjes@outlook.com;http://www.spelerijmaatjes.nl;352;Wijk bij Duurstede;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/785747a6-20d8-4dfd-8474-d4c5b6df8ebd
160584693;VGO;Nee;Ramsing;6;;Ingeschreven;08-05-2012;Huismanstraat 65 ;3082HJ;Rotterdam;0599010000407929;Ramsing;;;;;;;;;;;;;;;'';;;599;Rotterdam;146575891;305142562;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3dda6942-7aee-4b7d-aeb5-1b86371d837f
160591466;VGO;Nee;Vosmer-Verstegen;5;;Ingeschreven;27-06-2014;Vraggelse Baan 1A ;4904SR;Oosterhout;0826010000024661;Vosmer-Verstegen;;;;;;;;;;;;;;;'';;;826;Oosterhout;149711980;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e74ff4cc-f95a-404d-85b1-c96096ac43a3
160595502;VGO;Nee;Dijkman Preuter;4;;Ingeschreven;04-10-2018;Opvang bij de vraagouder;;;;Dijkman Preuter;;;;;;;;;;;;;;;'';;;285;Voorst;225000520;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f3d7789c-aa83-4a09-999c-57600449c2dc
160601551;VGO;Nee;Lipholt;6;;Ingeschreven;20-08-2018;Dovenetel 22 ;7422NV;Deventer;0150010000033546;Lipholt;;;;;;;;;;;;;;;'';;;150;Deventer;132522895;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e03f1acb-bd2c-4abf-afee-56897e9ab3ee
160619191;KDV;Nee;Zo aan het Oosteinde;72;Nee;Ingeschreven;01-01-2010;Oosteinde 83F ;2548AL;'s-Gravenhage;0518010000415751;Zo Kinderopvang Holding B.V.;68027265;000019286589;Besloten Vennootschap;2016-02-01;;Postbus 2728;3500GS;Utrecht;;;;;;A. Beljaars;'070 – 345 85 63';info@zokinderopvang.nl;http://www.zokinderopvang.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/59f03e5c-4b76-4e9e-b8ff-4745763965ed
160621124;KDV;Nee;Prokino Charlois KDV;47;Ja;Ingeschreven;01-01-2010;Schulpweg 37 ;3084NG;Rotterdam;0599010000208440;Stichting Prokino Kinderopvang;34162208;000026469308;Stichting;2016-01-12;;Diemermere 13 ;1112TB;Diemen;;;;;;Regiomanager;'088-2330000';lrk@prokino.nl;http://www.prokino.nl;599;Rotterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/352da67c-8778-467d-a122-03262023e657
160630836;VGO;Nee;Schalk;6;;Ingeschreven;13-07-2010;Rabarberstraat 4 ;2292AA;Wateringen;1783010000032086;Schalk;;;;;;;;;;;;;;;'';;;1783;Westland;820712103;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c935abcd-9d33-4667-9d0c-c50da2890d24
160632390;VGO;Nee;Vaupell-de Laet;6;;Ingeschreven;26-08-2010;Kees Klerxstraat 7 ;5251BL;Vlijmen;0797010000017469;Vaupell-de Laet;;;;;;;;;;;;;;C. Lambooij;'06-29422639';info@saamgastouderbureau.nl;;797;Heusden;301340134;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e8d3dc33-52ab-48e2-a18d-32d3341a1672
160633229;KDV;Nee;KDV Groningen Ienemini;32;Ja;Ingeschreven;17-02-2011;Eikenlaan 288 5;9741EW;Groningen;0014010011076722;Kids First Kinderopvang NL B.V.;02071716;000047759348;BV;2016-01-12;;Postbus 1030;3640BA;Mijdrecht;;;;;;Facilitair;'088-0350400';info@kidsfirst.nl;http://www.kidsfirst.nl;14;Groningen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2d3d9147-4ef7-4685-8e33-b34dae6c5327
160646467;KDV;Nee;Peuteropvang De Draakjes;16;Ja;Ingeschreven;07-03-2013;Pastoor Maasstraat 15a ;5473CG;Heeswijk-Dinther;1721010000001310;Stichting Humankind;41208044;000026153831;Stichting;2016-01-14;;Postbus 591;6400AN;Heerlen;;Copernicusstraat 13C ;6003DE;Weert;;Regiodirecteur Midden-Brabant;'073-7119400';regiomiddenbrabant@humankind.nl;http://www.humankind.nl;1721;Bernheze;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/fd61e5f5-3218-4ace-9b89-f5412f8513af
160661791;BSO;Nee;BSO Buitengewoon;32;;Ingeschreven;01-01-2020;Blankensteinweg 43 ;7943KN;Meppel;0119010000004855;Stichting Doomijn;05027189;000029372674;Stichting;2016-02-01;;Postbus 1064;8001BB;Zwolle;;;;;;Manager Doomijn;'038-4214521';klantadvies@doomijn.nl;http://www.doomijn.nl;119;Meppel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/74faa29d-633d-429f-ab68-d572a3d61505
160663039;VGO;Nee;Boermans Hegeman;6;;Ingeschreven;20-08-2026;De Hof 16 ;7678DK;Geesteren;0183010011078836;Boermans Hegeman;;;;;;;;;;;;;;;'';;;183;Tubbergen;190734243;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/cbe4418c-90dc-47f9-8028-8a696479d8ca
160666521;VGO;Nee;Haan;6;;Ingeschreven;03-08-2021;Boschsingel 6 ;9671JB;Winschoten;1895010000015886;Koerts Haan;;;;;;;;;;;;;;;'';;;1895;Oldambt;183327901;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/148408a6-b306-466f-9bed-59cefc73b367
160668979;KDV;Nee;KDV Loedoes;28;Ja;Ingeschreven;01-04-2013;Hulsestraat 1 ;6135JK;Sittard;1883010000023011;Stichting MIK & Spelenderwijs Kindontwikkeling;14066305;000023625031;Stichting;2016-02-03;;Postbus 91;6190AB;Beek;;;;;;Beleidsmedewerker Kwaliteit KO;'046-4235332';Kwaliteit@mik-piwgroep.nl;https://www.mik-spelenderwijs.nl;1883;Sittard-Geleen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/52c2e577-473b-410c-9b4e-ce3d59ad24ca
160669108;KDV;Nee;Kinderopvang Le Petit Papillon B.V.;24;Nee;Ingeschreven;10-07-2017;Burgemeester Wuiteweg 140b ;9203KP;Drachten;0090010000673326;Kinderopvang Le Petit Papillon B.V.;86820192;000037112937;Besloten Vennootschap;2017-05-30;;Stationsweg 34 ;9201GP;Drachten;;;;;;Kinderdagverblijf Le petit papillon;'0623881615';savannahwereldsma@hotmail.com;;90;Smallingerland;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/fd34b05e-e925-4721-998a-5f101bba4c2a
160672594;KDV;Nee;IKC Noordeinde;16;Nee;Ingeschreven;30-07-2018;Bijvoetplan 43 ;2728DC;Zoetermeer;0637010000300271;Stichting Junis Kinderopvang;41166169;000031006248;Stichting;2016-02-01;;Postbus 499;2400AL;Alphen aan den Rijn;;;;;;;'0172424824';info@junis.nl;http://www.junis.nl;637;Zoetermeer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/86d7826e-186f-4f64-ae82-b7d160de8f0e
160695004;KDV;Nee;Agrarisch Kinderdagverblijf 't Melktonnetje B.V.;32;Nee;Ingeschreven;20-02-2025;Tonsedijk 30a ;4791SG;Klundert;1709010000175129;Agrarisch Kinderdagverblijf 't Melktonnetje B.V.;93949529;000059457929;Besloten Vennootschap;2025-01-01;;Tonsedijk 30a ;4791SG;Klundert;;;;;;Kim Kant-Jongmans;'0657115328';info@melktonnetje.nl;http://www.melktonnetje.nl;1709;Moerdijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8fa1e78a-e3c7-44d1-a2f7-773b44089588
160695181;BSO;Nee;Kindcentrum de Breede Hei;42;;Ingeschreven;01-08-2018;Dopheide 40 ;3823HL;Amersfoort;0307010000510433;Stichting Ska Kinderopvang;41189982;000041664639;Stichting;2015-12-15;;Amsterdamseweg 41 ;3812RP;Amersfoort;;;;;;;'033-4701303';info@ska.nl;;307;Amersfoort;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4a68532a-022c-44c0-b776-51ddea793668
160698078;KDV;Nee;Kinderplein;57;Ja;Ingeschreven;01-01-2010;Bellamystraat 28 ;4532CP;Terneuzen;0715010000001143;Stichting Kinderopvang Zeeuwsch Vlaanderen;41110279;;Stichting;2016-02-02;;Postbus 172;4530AD;Terneuzen;;Bellamystraat 28 ;4532CP;Terneuzen;;Dhr. van Loon;'0115-626090 / 0115-618132 / 0115-611689';;;715;Terneuzen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ce121220-5ec2-4c5e-9d88-7d8c93530bb4
